sampleID,read_count,Atopobium_deltae,Atopobium_minutum,Atopobium_parvulum,Atopobium_vaginae,g_Acidaminococcus,g_Acinetobacter,g_Actinobacillus,g_Actinobaculum,g_Actinomyces,g_Actinotignum,g_Aerococcus,g_Akkermansia,g_Alistipes,g_Alloprevotella,g_Alloscardovia,g_Anaerococcus,g_Anaeroglobus,g_Anaerostipes,g_Arcanobacterium,g_Bacillus,g_Bacteroides,g_Bergeyella,g_Bifidobacterium,g_Blautia,g_Brevibacterium,g_Bulleidia,g_Burkholderia.Paraburkholderia,g_Campylobacter,g_Catonella,g_Christensenellaceae_R.7_group,g_Citrobacter,g_Clostridium_sensu_stricto_1,g_Collinsella,g_Coprococcus,g_Corynebacterium,g_Cupriavidus,g_Delftia,g_Dermabacter,g_Dialister,g_Distigma,g_Dorea,g_Enhydrobacter,g_Enterobacter,g_Enterococcus,g_Escherichia.Shigella,g_Ezakiella,g_Facklamia,g_Faecalibacterium,g_Finegoldia,g_Fusicatenibacter,g_Fusobacterium,g_Gallicola,g_Gemella,g_Globicatella,g_Granulicatella,g_Haemophilus,g_Halomonas,g_Helcobacillus,g_Helcococcus,g_Helicobacter,g_Howardella,g_Jonquetella,g_Klebsiella,g_Kluyvera,g_Kocuria,g_Lachnoclostridium,g_Lachnospira,g_Lachnospiraceae_FE2018_group,g_Lachnospiraceae_NK4A136_group,g_Lactobacillus,g_Lactococcus,g_Lawsonella,g_Leptotrichia,g_Leucobacter,g_Megasphaera,g_Micrococcus,g_Mobiluncus,g_Mogibacterium,g_Moryella,g_Murdochiella,g_Mycoplasma,g_Negativicoccus,g_Neisseria,g_Nosocomiicoccus,g_Oligella,g_Olsenella,g_Paeniglutamicibacter,g_Parabacteroides,g_Parvimonas,g_Pasteurella,g_Pediococcus,g_Peptococcus,g_Peptoniphilus,g_Peptostreptococcus,g_Phascolarctobacterium,g_Porphyromonas,g_Prevotella,g_Propionibacterium,g_Propionimicrobium,g_Proteus,g_Pseudarthrobacter,g_Pyramidobacter,g_Ralstonia,g_Rhizobium,g_Rikenellaceae_RC9_gut_group,g_Romboutsia,g_Roseburia,g_Rothia,g_Ruminococcaceae_UCG.002,g_Ruminococcaceae_UCG.014,g_Ruminococcus_1,g_Ruminococcus_2,g_Sarcina,g_Scardovia,g_Senegalimassilia,g_Serratia,g_Shewanella,g_Slackia,g_Solobacterium,g_Sphingomonas,g_Sporosarcina,g_Staphylococcus,g_Stenotrophomonas,g_Streptococcus,g_Subdoligranulum,g_Sutterella,g_Tessaracoccus,g_Trichococcus,g_Trueperella,g_Ureaplasma,g_Varibaculum,g_Variovorax,g_Veillonella,g_Weeksella,g_Zimmermannella,Gardnerella_vaginalis,Lactobacillus_aviarius,Lactobacillus_coleohominis,Lactobacillus_crispatus,Lactobacillus_delbrueckii,Lactobacillus_equicursoris,Lactobacillus_fermentum,Lactobacillus_gasseri,Lactobacillus_iners,Lactobacillus_jensenii,Lactobacillus_kefiranofaciens,Lactobacillus_paracasei_Lactobacillus_rhamnosus,Lactobacillus_pontis,Lactobacillus_reuteri,Lactobacillus_salivarius,Lactobacillus_ultunensis_1,Shuttleworthia_satelles,Sneathia_amnii,Sneathia_sanguinegens,I-A_sim,I-B_sim,II_sim,III-A_sim,III-B_sim,IV-A_sim,IV-B_sim,IV-C0_sim,IV-C1_sim,IV-C2_sim,IV-C3_sim,IV-C4_sim,V_sim,subCST,score,CST
20230116_BC13,20607,0,0,0,0,0,0,0,40,0,1,24,0,0,0,0,2999,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,1270,0,0,18,130,0,0,0,0,1,26,20,259,0,5775,0,2,0,0,0,0,1405,0,0,157,0,0,0,0,0,0,0,4,0,0,1,0,477,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,3856,0,0,26,2613,2,10,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,12,0,884,2,30,0,0,57,0,104,0,2,0,0,0,0,0,3,0,0,0,1,2,1,0,0,0,0,0,0,0,1,0,0.0009246210903811,0.0092784668899212,0.0152659171710372,0.0021368326625538,0.0133033370876647,0.0297782539616746,0.0313013584833351,0.2476448036382363,0.0653108019491881,0.0051051287662532,0.0226810765344004,0.0174570458996368,0.0101568401169935,IV-C0,0.2476448036382363,IV-C
20230116_BC08,17244,0,49,0,0,0,0,0,0,0,9,0,0,0,0,6183,1906,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,20,0,0,0,139,0,0,0,0,0,0,2,0,0,519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,590,300,0,0,3983,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,425,0,0,0,0,0,0,30,0,2664,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002373959132314,0.0032850910708877,0.0083888600883236,0.0006364458565067,0.0044674667569135,0.0285496703698854,0.0167329757231965,0.1184203677825876,0.0361044382579301,0.0021807881362128,0.0123283736190362,0.0091812427666062,0.0038381323037095,IV-C0,0.1184203677825876,IV-C
20221229_BC05,100599,0,0,0,35,0,0,0,0,0,391,204,0,0,0,3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,879,0,0,0,42,0,0,0,0,0,94571,0,0,0,2470,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,417,0,0,2,670,0,17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,132,0,151,0,0,0,0,5,4,7,0,0,40,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0.0001505423255216,0.0031145321447268,0.0022469519954551,0.0003847061215712,0.0015942231745882,0.0005442907517163,0.0007852336160385,0.04171367653964,0.0146300613463261,0.0037478351854607,0.0024688261790786,0.0155747851778934,0.0006264383460764,IV-C0,0.04171367653964,IV-C
20230116_BC05,23779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1005,11366,0,0,17,0,0,0,0,0,0,0,277,1,0,0,0,0,0,0,0,0,0,0,1,24,0,0,23,2,0,2998,0,0,0,0,0,0,0,0,10,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,348,0,0,0,0,1,0,172,0,335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3074,0,0,0,15,0,0,0,0,0,1777,0,0,1,0,0,0,0,1678,14,0,0,0,0,0,0,0,1,0,0.0004497401364709,0.0071672637072318,0.0145295613390256,0.062837088665429,0.0807272341242203,0.045656267951765,0.0854488812502057,0.0357422463000534,0.0055449417751946,0.003038021386503,0.0005170823722819,0.0234143062003395,0.0388546318235209,IV-B,0.0854488812502057,IV-B
20230206_BC15,30019,0,0,0,1,0,0,0,0,0,0,0,3,141,0,0,452,30,69,0,1,1732,0,536,285,0,0,0,0,0,0,0,63,0,1,15,0,0,0,136,0,67,0,0,0,52,0,0,420,497,6,49,0,0,0,0,15,0,0,0,0,0,0,1,0,0,0,19,0,0,23,0,20,0,0,16,0,15,0,0,0,0,0,0,0,1,0,0,59,0,0,0,0,615,0,38,73,3297,0,0,0,0,0,0,0,0,53,43,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1681,52,1,0,0,0,74,75,0,27,0,0,3,0,0,9,0,0,0,18183,3,0,0,0,0,0,0,0,0,1,0,0.0009209085561155,0.0159050900352468,0.9289084588777472,0.0033927297374561,0.0065653293419533,0.0096580197860993,0.0074742092379159,0.0429200330160859,0.0599089602917888,0.0170887138672091,0.0297017375814706,0.0131666461588669,0.0277858436195783,II,0.9289084588777472,II
20230116_BC03,19413,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,10,0,2,0,10,95,0,12,9,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,8,1,26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,13,0,0,21,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,23,0,0,0,31,1,0,1,0,0,8,0,0,8225,0,0,0,289,10293,1,0,0,0,0,0,0,0,0,0,0.4208449738231089,0.5225706577420871,0.0530209404171353,0.6004871689365749,0.7796935362743433,0.052314462947795,0.1185649883117457,0.1198795869220246,0.0192234239275961,0.0277125941496259,0.0030854687855967,0.1130057905438908,0.2249350328444804,III-B,0.7796935362743433,III
20230328_BC49,24682,0,0,0,461,0,0,0,0,2,2,22,0,0,0,0,35,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,134,0,1,0,0,0,1,0,1,0,16,0,178,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,4,0,0,1834,0,77,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,98,77,0,207,3115,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,13,0,12,0,0,0,0,0,0,1,0,0,9903,0,0,423,0,0,0,0,1056,0,0,0,0,0,0,0,0,5766,0,0.014990078649957,0.0273396410125499,0.051759080822499,0.0420951766820537,0.1136454016572633,0.2934553926318797,0.601543842768201,0.0557340567952147,0.015195132600681,0.0100331765597603,0.0018244468353122,0.0450029426286293,0.070444856670556,IV-B,0.601543842768201,IV-B
20230206_BC10,17811,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3141,0,1,1,0,213,0,17,10,0,0,0,0,0,0,0,5,0,0,6,0,0,0,132,0,2,0,0,1,104,105,7,24,156,2,5268,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,28,0,0,4,0,3,0,0,0,0,48,0,0,2,0,0,0,0,0,0,0,20,1,0,0,0,717,321,1,693,5776,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,17,0,46,0,39,0,0,0,0,364,0,1,0,0,0,0,0,7,0,0,0,2,2,1,0,0,0,0,0,0,0,1,0,0.000586622686971,0.003430255797464,0.0061757941340072,0.0006427951752689,0.0041782016505277,0.0403594279549112,0.020400537101692,0.0927016322323513,0.0092222070858788,0.001167174804552,0.0063925426952583,0.0050868622812199,0.0045252345087913,IV-C0,0.0927016322323513,IV-C
20230206_BC01,13637,0,0,0,1117,0,0,0,0,0,0,0,0,4,0,0,601,0,10,0,14,41,0,3,3,0,0,0,0,0,0,0,1,1,1,340,0,0,0,43,0,1,0,0,0,3,0,0,7,477,1,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,67,0,0,6,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,547,0,0,0,165,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,688,1,0,0,0,0,115,7,0,0,0,0,8467,0,0,9,0,0,0,570,8,1,0,0,0,0,0,0,0,0,0,0.0012192569723116,0.0121365652875464,0.101546418362643,0.0063364240638807,0.0802141275385877,0.2834986680184288,0.6690065000607276,0.0656388725408831,0.0616472043222238,0.013909331861749,0.0119024045709594,0.047104239406131,0.0638863886637957,IV-B,0.6690065000607276,IV-B
20230116_BC11,20230,0,9,0,2,0,0,0,0,0,17,0,0,0,0,0,3487,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,258,0,1,0,0,0,0,966,2,6,17,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,158,0,0,0,0,13,0,2,0,0,0,1,886,0,0,0,1959,1,0,9525,1563,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,0,0,0,0,0,0,121,0,0,0,0,364,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,109,0,0.0003195445450516,0.0038419590765286,0.0082681953508453,0.0008424846582836,0.007289323357117,0.0329221200112019,0.0353817572509836,0.0956177498051582,0.0136135759757711,0.0016639737848769,0.0065011473534532,0.0057398430256316,0.006753294320137,IV-C0,0.0956177498051582,IV-C
