taxa,20230116_BC05,20230116_BC02,20230116_BC03,20230116_BC12,20230116_BC21,20230116_BC07,20230116_BC11,20230116_BC01,20230116_BC04,20230116_BC06,20230116_BC08,20230116_BC14,20230116_BC09,20230116_BC13,20230206_BC18,20230206_BC25,20230206_BC15,20230206_BC05,20230206_BC20,20230206_BC02,20230206_BC16,20230206_BC03,20230206_BC10,20230206_BC12,20230206_BC21,20230206_BC07,20230206_BC17,20230206_BC11,20230206_BC24,20230206_BC23,20230206_BC01,20230206_BC04,20230206_BC19,20230206_BC22,20230206_BC06,20230206_BC08,20230206_BC14,20230206_BC09,20230206_BC13,20221229_BC05,20221229_BC02,20221229_BC07,20221229_BC04,20221229_BC06,20230227_BC07,20230227_BC08,20230215_BC05,20230215_BC02,20230215_BC03,20230215_BC10,20230215_BC07,20230215_BC11,20230215_BC01,20230215_BC04,20230215_BC06,20230215_BC08,20230328_BC49,20230328_BC34,20230328_BC36,20230328_BC32,20230328_BC50,20230328_BC38,20230328_BC56,20230328_BC40,20230328_BC46,20230328_BC39,20230328_BC55,20230328_BC37,20230328_BC52,20230328_BC53,20230328_BC35,20230328_BC44,20230328_BC42,20230328_BC43,20230328_BC47,20230328_BC41,20230328_BC33,20230328_BC51,20230328_BC54,20230328_BC48,20230328_BC45,20230322_BC72,20230322_BC77,20230322_BC89,20230322_BC73,20230322_BC74,20230322_BC75,20230322_BC76,20230322_BC96,20230322_BC79,20230322_BC71
diversity,2.806046961561889,0.0872037397854681,0.992429287400942,1.911448595658651,0.7161397196002468,2.646881213209773,2.482967697783473,1.1298744645510566,1.5581546287937826,2.6057501098855,2.349407907519537,0.7708652363131474,2.953171747083096,2.905617700952497,0.55834889992008,0.2709389466258795,2.1304636307302225,3.2267200625951,0.1379584033177043,2.69540226842613,1.201343711601309,2.9957044650690325,2.854128401775471,0.7920430340417759,2.294397554317624,0.0390501421566971,0.871281772395993,1.873011952745687,3.046417281402034,3.0219959664016915,1.7573098762310029,1.4396133460765406,0.0540719200574967,2.391559116252568,0.4133407721367069,1.9445564150776795,1.9314685624926464,0.199457886579449,0.5770231258236302,0.3657339198280921,1.0466987445587683,0.3523345539584467,0.7470827556132216,3.0333382642183424,2.795913404770802,0.5646986909643943,3.325468158267009,0.0882427739969958,1.555273190906456,0.1239725203756532,0.7081958990605214,3.489090849184244,2.1409806756963703,0.0492761759987798,0.6590599953060284,1.303289390188741,2.0876523389249337,1.084647428092658,0.5249357555636808,3.9800954230553858,1.4464972175157842,1.4090298025061971,0.0617670034188703,0.0247164048358101,0.0677921756568934,1.431012608727201,0.177926654262288,1.307727822617152,0.6329505527116425,0.8744404716991643,1.9484660403594267,0.2177626822986254,2.174227210719008,1.4173764417618469,0.8824258638851901,1.5525519843306292,0.6682200679387883,0.0312668731793098,0.914587076069016,1.276393252854208,0.6732953544285433,0.7570522929336647,1.1300794114230863,0.7391107196823722,3.181791628765841,1.7262104277247812,0.8623736162817476,0.1264188464956996,0.2028073262505992,2.1266792889634853,2.587908135138332
observed,84.0,43.0,95.0,49.0,29.0,74.0,98.0,54.0,73.0,86.0,74.0,68.0,122.0,110.0,88.0,60.0,242.0,137.0,91.0,165.0,105.0,168.0,136.0,68.0,93.0,34.0,111.0,113.0,171.0,195.0,111.0,69.0,49.0,120.0,52.0,113.0,200.0,78.0,73.0,71.0,19.0,69.0,34.0,100.0,74.0,101.0,184.0,79.0,107.0,57.0,67.0,228.0,130.0,70.0,63.0,85.0,86.0,101.0,36.0,231.0,73.0,93.0,36.0,38.0,48.0,85.0,41.0,62.0,61.0,42.0,158.0,62.0,91.0,102.0,122.0,143.0,53.0,43.0,25.0,51.0,41.0,56.0,93.0,80.0,156.0,75.0,110.0,47.0,87.0,141.0,106.0
c__Actinobacteria,0.0747298036082257,0.9904369574812416,0.001596868078092,0.0925512482240714,0.0006703595243975,0.0001985111662531,0.0387048937221947,0.0029558658648455,0.6227768053751905,6.138735420503377e-05,0.3707956390628624,0.0152193375111906,0.0133663366336633,0.1062260396952491,0.0123396727111897,0.0024775321836288,0.0226190079616243,0.0997646443514644,0.0014781080217321,0.4721627408993576,0.0814506539833531,0.2912668529090246,0.0261074616809836,0.0004061326022946,0.5442874560711468,0.0001705756929637,0.0145484350186978,0.0214586681725381,0.3096722068328716,0.0777878812928825,0.6667888831854514,0.2543641758090113,0.0005266853932584,0.0499416455942423,0.0001862630966239,0.0060918898809523,0.0206481215944938,0.001658947950508,0.8261563725937414,0.0172963945963677,0.5117085787939342,0.0029487741872593,0.6036668989860383,0.3117686023404725,0.0988859416445623,0.0114601452982707,0.1586849760705683,0.0003984169566256,0.1334066026968761,0.0003130625342412,0.6496080992815153,0.1794819289444046,0.5615497414524967,0.0005582226191805,0.7087077185172973,0.5921056626688933,0.4051130378413419,0.019646437032987,0.0003403345001944,0.0922615428270298,0.2807318179527241,0.0134204853626312,0.0034862123160451,0.0001568586442184,0.0048388911812145,0.3908107936709262,0.0005891209007003,0.7924457114110841,0.0120508246259147,0.0018616196090598,0.0237596986574804,0.0092984192687243,0.0256728152403991,0.0283921966785118,0.0435960273442538,0.583150867823765,0.0004886839131364,0.0011722521031581,0.0670970717085543,0.1775034770514603,0.0073092960510179,0.0004955196762604,0.0121838656082702,0.000968665768194,0.0252886201209455,0.4278109028960817,0.002304971585264,0.0048765263527484,0.0084121976866456,0.160911883349987,0.0136613315654891
c__Bacilli,0.1153959375919929,0.0003923299494875,0.9758409313346726,0.3133076246532711,0.9975302543837984,0.0790570719602977,0.0073652990608007,0.0004586688410967,0.0161481565129015,0.0883364027010435,0.0249362096961261,0.8134570984309476,0.0795379537953795,0.0576503130004367,0.971782397169394,0.9909157153266942,0.6674439521636297,0.0368723849372384,0.985898050495366,0.0146895074946466,0.8769916765755054,0.0293331713834568,0.0053337824939644,0.9927403797339832,0.0512802122929068,0.997185501066098,0.0006147226064238,0.5714782155423309,0.0294321329639889,0.119947094320906,0.1050084329397961,0.7316290623059408,0.9960059691011236,0.0722135771250729,0.9953899883585564,0.8421688988095238,0.7170060223687984,0.9796778876062764,0.0122251619377794,0.0033896957226214,0.2718189603716295,0.0060925086513622,0.0115222914184221,0.265915949068963,0.059681697612732,0.9212115010743888,0.0121680377866057,0.9937846954766396,0.0488227585915373,0.9968302418408076,0.343990855649902,0.0186341763079758,0.2610172107740989,0.995757508094228,0.0051658285934108,0.3033550933657203,0.0616238554412122,0.8714051394204483,0.9969856087125633,0.3432242895942275,0.0078121062446449,0.2826646269383214,0.0035147878268324,0.9985098428799248,0.993848231366518,0.5429812601071757,0.99836355305361,0.2033201978703781,0.9831798157789348,0.9942821683436018,0.7481729500016098,0.9711149104652208,0.7510734804959177,0.0415186017840307,0.8454146781890881,0.0112416555407209,0.2203048165908188,0.9974831057785132,0.9321189762508648,0.7832058414464534,0.9898945302918812,0.992814964694223,0.0636883884068672,0.9914504716981132,0.1195711929631665,0.0986371379897785,0.9832690855621348,0.9900518862403932,0.9786390265885534,0.003959883053921,0.0122170660100388
c__Bacteroidia,0.5129736321964758,0.0065715266539159,0.013084015865657,0.0009471618970299,0.0004939491232403,0.5739454094292804,0.5482451804251112,0.1702171032514524,0.1850262548698548,0.4487415592387968,0.2310948735792159,0.0014606794515384,0.4629950495049505,0.1282088610666278,0.0023883237505528,0.0021374787466601,0.1774875911922449,0.2929524058577405,0.0028363694471077,0.2613276231263383,0.0130796670630202,0.0689299161909389,0.3762843186794677,0.0037059599959386,0.0338521121709818,0.0015778251599147,0.1003534654986937,0.197384996307719,0.1181902123730378,0.3744730098371497,0.0156192711006819,0.0015524736079486,0.0016239466292134,0.5063703559618751,0.0021420256111757,0.0511997767857142,0.1339260108976197,0.0044929840326259,0.0031931393121065,0.0066799868785972,0.0001384095018122,0.0061412487205731,8.993007936329504e-05,0.0239935232207256,0.3994164456233421,0.0063951703673385,0.4015452469579905,0.0019655236526866,0.0683518620281523,0.0012131173201847,0.0016982364467668,0.1887478243063376,0.0155900285559929,0.0012280897621971,0.0008243343500123,0.0013056019432214,0.1347945871485293,0.0425004556223801,0.0009237650719564,0.195467996270623,0.0338440602792197,0.0117168486197065,0.0003143306186598,0.0001830017515881,0.000525150980907,0.0019025271902844,0.0005891209007003,0.0008803554959335,0.0006917391779225,0.0003102699348433,0.0034448343581983,0.0019496685563454,0.0275173873601451,0.0506925810428602,0.0066425899651747,0.0237116154873164,0.0013133380165541,0.0004826920424768,0.0002766889554991,0.0015646731571627,0.0003433897473632,0.0022298385431721,0.00549196972494,0.0036640835579514,0.3182282258697871,0.0219335604770017,0.0032984938202916,0.0019115983302773,0.0018627009163286,0.1285666703674919,0.2692726583956814
c__Campylobacteria,0.0004205391311661,0.0,0.0,0.0,0.0,0.001091811414392,0.0,0.0,0.0,0.0014119091467157,0.0,0.0,0.0016089108910891,0.0001941087979812,0.0,0.0,0.0,0.0003268828451882,0.0,0.0,0.0,0.0001821936110773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.266512358435976e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002046454517548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.791113095902646e-05,0.0,3.036283588887202e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.8575510787255323e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0057628537394159,0.0,0.0,0.0,0.0,8.01068090787717e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.926804366606456e-05,0.0,0.0,0.0005461709515078,0.0,0.003478775766996,0.0013969125864191
c__Clostridia,0.0254426174355523,0.0018635672600657,0.0065420079328285,0.2086462350314593,0.0003881028825459,0.0298263027295285,0.3860603064755314,0.1108449699317093,0.0364180452825927,0.0290362185389809,0.2008814660171654,0.0443386891579889,0.0648102310231023,0.6279419614694036,0.0106147722246793,0.0019431624969638,0.1185582464439188,0.5079105648535565,0.0017178012144455,0.2173875802997858,0.0237812128418549,0.3744078707639985,0.2789287518948964,0.0017260635597522,0.3654880585239905,0.0005970149253731,0.0226935095538138,0.0830111637200816,0.5152354570637119,0.3853848061502852,0.1268607464984967,0.0006209894431794,0.0014044943820224,0.3374343512935226,0.0015366705471478,0.0522693452380952,0.1145970748494407,0.0118200041473698,0.0030562904844448,0.0297915486237437,4.3252969316343566e-05,0.0086757323195398,6.744755952247128e-05,0.2584087730919261,0.3720424403183024,0.0548449810702957,0.3773342925959523,0.0012749342612021,0.0425666821659551,0.0008609219691633,0.0010777269758327,0.3174976963243575,0.1183916029945203,0.0008373339287707,0.0007693787266782,0.0013966904508881,0.0535207843772789,0.0399854200838345,0.0008751458576429,0.2854189468563785,0.0144901970666801,0.0797232459495167,0.0001428775539362,0.0001830017515881,0.0003375970591545,0.0539049370580587,0.0002618315114223,0.0007965121153684,0.0026577347362289,0.0012410797393732,0.0136183638646534,0.0163472209724346,0.0231327487148472,0.1330408296468199,0.0776473623113633,0.0161014686248331,0.0010079105708438,0.0004482140394428,9.222965183306432e-05,0.0010431154381084,0.0001471670345842,0.0008258661271007,0.0073841609747092,0.0010950134770889,0.3662923113170502,0.0039608177172061,0.0077097325438143,0.0005071587406858,0.0099444194081418,0.1135783279671366,0.3254096031821195
c__Coriobacteriia,4.20539131166155e-05,0.0,0.0001030237469736,0.0,3.528208023145045e-05,4.962779156327544e-05,0.0007909045971329,0.0118234634593823,0.0653266331658291,6.138735420503377e-05,0.0029575504523312,0.124110634688781,0.0003300330033003,4.852719949531713e-05,0.0001326846528084,0.0,0.0001665611779206,0.0032034518828451,3.994886545222116e-05,0.0020985010706638,5.945303210463734e-05,0.0007895056480019,0.0002245803155353,0.0001522997258604,0.0,0.0,0.0011269914451103,0.0001303157986186,0.0001154201292705,0.0014879722245184,0.0819828408007626,0.0001034982405299,0.0,0.007342929391169,9.313154831199067e-05,0.0425037202380952,0.0002294235732721,0.0,0.1540005473953106,0.0003479159832602,0.2157717627315115,0.0009504313496125,0.3833606870658063,0.0027231912857878,0.0,0.0,0.0035346742156464,2.65611304417116e-05,0.0152597539840216,3.913281678015184e-05,0.0008164598301763,5.119279205487868e-05,0.0002315350775642,5.582226191805292e-05,0.2831863270409144,0.0969485349931683,0.023782513572644,0.0157463094587206,0.0,0.0005269771778345,0.0384809233405574,0.6043390584799389,0.9920845835119304,5.228621473948393e-05,3.7510784350500766e-05,0.0013634778197038,6.545787785559992e-05,4.19216902825522e-05,0.0,0.0001772971056247,0.0003219471362802,0.0,0.0009071666162685,3.6260787584306334e-05,0.0005481749000386,0.1914819759679572,0.7765187379737943,0.0001723900151703,4.6114825916532166e-05,0.0003477051460361,4.905567819475104e-05,4.1293306355039846e-05,0.3830071995569503,4.211590296495957e-05,0.0014136495719783,0.0557921635434412,0.0,0.0,0.0,3.7008252840383405e-05,0.0027464722038071
c__Fusobacteriia,0.1261196854367298,0.0003432887058015,0.0013393087106578,6.76544212164265e-05,0.0,0.2118114143920595,0.0053880375679683,0.6667516053409438,0.0006210829428039,0.2566605279312461,0.0,0.0001413560759553,0.2330858085808581,0.0001455815984859,0.0001326846528084,0.0003886324993927,0.0016656117792065,0.0419717573221757,0.0001198465963566,0.0004710920770877,0.0002378121284185,0.0305477954573059,0.295828420638931,5.076657528683115e-05,0.0006454851897009,4.2643923240938166e-05,0.8529788432969623,0.1250162894748273,0.0032317636195752,0.0005786558650905,7.332991127080736e-05,0.0005519906161595,0.0001755617977528,0.001264345458082,0.0,0.0026041666666666,0.0012044737596788,0.0,0.0004561627588723,0.0001988091332915,4.3252969316343566e-05,2.437003460544914e-05,0.0,0.0192831382939574,0.0289655172413793,0.0001534840888161,0.035815946698364,0.0002124890435336,0.6661453269645348,0.0001565312671206,0.0001959503592423,0.1979625268762158,0.0007717835918808,8.373339287707937e-05,5.495562333415767e-05,3.036283588887202e-05,0.2408232720200956,0.0018589393110989,0.0001458576429404,0.001945761887389,0.5845975505266872,3.476809679438147e-05,5.715102157451065e-05,5.228621473948393e-05,0.0001125323530515,0.0011415163141706,6.545787785559992e-05,0.0002515301416953,0.0,8.864855281237534e-05,0.0034126396445703,0.0,0.0004838221953432,0.0014866922909565,0.0162195279246743,0.1214419225634178,0.0001221709782841,0.0,0.0001383444777495,0.0003477051460361,4.905567819475104e-05,0.0025601849940124,0.524736939265276,0.0007580862533692,0.0031414434932851,0.3612436115843271,0.0002384453364066,0.0012483907463035,0.0002403485053327,0.0548092224566078,0.2447201439530258
c__Gammaproteobacteria,0.1316708019681231,0.0001471237310578,0.0012877968371709,0.3560652188620526,7.05641604629009e-05,0.0908684863523573,4.943153732081068e-05,0.0001528896136989,0.0001129241714188,0.1543891958256599,0.0006958942240779,0.0003769495358808,0.1279702970297029,0.071771728053574,0.0024767801857585,0.0018460043721156,0.0023318564908891,0.0035957112970711,0.0075503355704697,0.016916488222698,0.0031510107015457,0.202720757925422,0.0096008084891359,0.0009137983551629,0.0020081761457362,0.0003411513859275,0.0011269914451103,0.0003475087963164,0.0197368421052631,0.0264528395469951,0.0005133093788956,0.0005519906161595,0.000219452247191,0.0010698307722233,0.0004656577415599,0.0003255208333333,0.0029251505592199,0.0022119306006774,0.0006842441383085,0.9417886857722244,0.0004584814747532,0.9705122581274064,0.0012702623710065,0.0541694266578346,0.0279575596816976,5.116136293870869e-05,0.0076011135787794,0.0019124013918032,0.0003381662932747,0.0001956640839007,0.0005225342913128,0.012235077301116,0.0134290344987265,0.0001953779167131,0.0001373890583353,0.0003339911947775,0.0005672149744753,0.0029888828139238,0.0005348113574484,0.0567108516761927,5.040068544932211e-05,0.0013559557749808,8.572653236176597e-05,0.0007842932210922,0.000150043137402,0.0009512635951422,6.545787785559992e-05,8.384338056510439e-05,0.0008737758036917,0.0015956739506227,0.1352177972376935,0.0004199286121359,0.0930752948291502,0.7414243237363115,0.0004836837353282,0.0087850467289719,9.162823371308144e-05,0.0001034340091021,0.0001383444777495,0.0161682892906815,0.0018150600932057,0.0006606929016806,0.0011999261583902,0.0014319407008086,0.1590355768475614,0.0008091993185689,0.0030203075944839,0.0006632075839737,0.0003304791948325,0.5283668258021539,0.0570603276825456
